PDB_ID	antigen_name	CF_H1	CF_H2	CF_L1	CF_L2	CF_L3
8tp6	hemagglutinin	H1-9-seq_39		L1-11-seq_33	L2-7-seq_164	L3-9-seq_90
8tp7	hemagglutinin	H1-9-seq_25		L1-14-seq_53	L2-7-seq_165	L3-10-seq_36
8tp9	hemagglutinin	H1-9-seq_20		L1-11-seq_91	L2-7-seq_65	L3-9-seq_91
8tqk	fusion_glycoprotein_f0	H1-7-seq_678		L1-11-seq_57	L2-7-seq_705	L3-9-seq_393
8tzy	envelope_glycoprotein_e2	H1-7-seq_43	H2-6-seq_36	L1-12-seq_1	L2-7-seq_48	L3-8-seq_5
8u1c	neuraminidase	H1-7-seq_102	H2-6-seq_34	L1-12-seq_14	L2-7-seq_33	L3-9-seq_61
8u1q	neuraminidase	H1-9-seq_9		L1-11-seq_70	L2-7-seq_740	L3-9-seq_62
8u1s	neuraminidase	H1-9-seq_10		L1-11-seq_70	L2-7-seq_114	L3-9-seq_63
8ume	hemagglutinin	H1-7-seq_65	H2-6-seq_231	L1-17-seq_24	L2-7-seq_449	L3-10-seq_7
8us0	hemagglutinin	H1-7-seq_32	H2-6-seq_28	L1-16-seq_33	L2-7-seq_36	L3-9-seq_18
8uzc	hemagglutinin	H1-7-seq_65	H2-6-seq_346	L1-11-seq_12	L2-7-seq_290	L3-9-seq_164
8v5l	envelope_glycoprotein_e	H1-7-seq_37	H2-6-seq_370	L1-11-seq_399	L2-7-seq_65	L3-9-seq_20
8v5q	envelope_glycoprotein_e	H1-9-seq_26		L1-11-seq_225	L2-7-seq_28	L3-8-seq_2
8v5s	envelope_glycoprotein_e	H1-7-seq_38		L1-11-seq_33	L2-7-seq_65	L3-9-seq_282
8veb	hemagglutinin	H1-9-seq_1		L1-11-seq_1	L2-7-seq_1	L3-9-seq_43
8ved	hemagglutinin	H1-7-seq_606		L1-16-seq_15	L2-7-seq_2	L3-9-seq_243
8vef	hemagglutinin	H1-9-seq_6		L1-11-seq_1	L2-7-seq_65	L3-9-seq_43
8vpf	spike_glycoprotein	H1-7-seq_2	H2-6-seq_1	L1-14-seq_53	L2-7-seq_97	L3-11-seq_1
8vui	erythropoietin_receptor	H1-7-seq_60	H2-6-seq_51	L1-11-seq_36	L2-7-seq_67	L3-9-seq_35
8vuj	glutamate_receptor_ionotropic,_nmda_1	H1-8-seq_1		L1-13-seq_5	L2-7-seq_226	L3-9-seq_22
8vus	glutamate_receptor_ionotropic,_nmda_1	H1-7-seq_41	H2-6-seq_34	L1-11-seq_228	L2-7-seq_33	L3-11-seq_8
8vye	spike_glycoprotein	H1-9-seq_11		L1-11-seq_386	L2-7-seq_167	L3-9-seq_64
8vym	envelope_glycoprotein_b	H1-7-seq_577	H2-6-seq_33	L1-13-seq_4	L2-7-seq_100	L3-11-seq_7
8w0v	envelope_glycoprotein_e2	H1-7-seq_103	H2-6-seq_75	L1-12-seq_11	L2-7-seq_258	L3-9-seq_65
8w0w	envelope_glycoprotein_e2	H1-7-seq_104	H2-6-seq_76	L1-12-seq_1	L2-7-seq_33	L3-9-seq_66
8w0x	envelope_glycoprotein_e2	H1-7-seq_517		L1-11-seq_66	L2-7-seq_705	L3-9-seq_393
8w0y	envelope_glycoprotein_e2	H1-7-seq_106		L1-11-seq_1	L2-7-seq_119	L3-9-seq_68
8wfh	spike_protein_s1	H1-7-seq_321	H2-6-seq_32	L1-14-seq_101	L2-7-seq_43	L3-10-seq_11
8wpw	spike_protein_s1	H1-7-seq_35		L1-11-seq_55	L2-7-seq_65	L3-10-seq_10
8wyj	spike_glycoprotein	H1-7-seq_29	H2-6-seq_68	L1-11-seq_384	L2-7-seq_33	L3-8-seq_3
8x0y	spike_protein_s1	H1-8-seq_2		L1-11-seq_53	L2-7-seq_65	L3-8-seq_9
8xbf	spike_glycoprotein	H1-7-seq_67		L1-11-seq_41	L2-7-seq_705	L3-9-seq_40
8xea	spike_glycoprotein	H1-7-seq_97		L1-11-seq_58	L2-7-seq_33	L3-10-seq_21
8xi6	spike_glycoprotein	H1-7-seq_98	H2-6-seq_71	L1-11-seq_199	L2-7-seq_108	L3-11-seq_15
8xsd	spike_glycoprotein	H1-7-seq_578		L1-12-seq_4	L2-7-seq_33	L3-9-seq_6
8xse	spike_protein_s1	H1-7-seq_65	H2-6-seq_257	L1-11-seq_33	L2-7-seq_63	L3-9-seq_31
8xsf	spike_protein_s1	H1-7-seq_678	H2-6-seq_385	L1-11-seq_33	L2-7-seq_65	L3-9-seq_33
8xsj	spike_protein_s1	H1-7-seq_59	H2-6-seq_50	L1-11-seq_35	L2-7-seq_257	L3-9-seq_227
8y3h	envelope_protein	H1-7-seq_394	H2-6-seq_9	L1-13-seq_2	L2-7-seq_15	L3-11-seq_4
8y3i	envelope_protein	H1-7-seq_65	H2-6-seq_10	L1-14-seq_53	L2-7-seq_16	L3-10-seq_3
8y4a	spike_glycoprotein	H1-7-seq_42	H2-6-seq_35	L1-11-seq_228	L2-7-seq_33	L3-10-seq_148
8y4c	spike_glycoprotein	H1-9-seq_5		L1-14-seq_9	L2-7-seq_545	L3-11-seq_91
8yro	spike_glycoprotein	H1-7-seq_81	H2-6-seq_64	L1-13-seq_9	L2-7-seq_90	L3-11-seq_51
8yww	spike_glycoprotein	H1-7-seq_36	H2-6-seq_43	L1-11-seq_26	L2-7-seq_257	L3-8-seq_6
8ywx	spike_protein_s2'	H1-7-seq_52	H2-6-seq_43	L1-11-seq_384	L2-7-seq_257	L3-9-seq_227
8yx1	tumor_necrosis_factor_receptor_superfamily_member_5	H1-9-seq_8		L1-11-seq_56	L2-7-seq_257	L3-8-seq_11
8yx9	tumor_necrosis_factor_receptor_superfamily_member_5	H1-7-seq_98	H2-6-seq_70	L1-16-seq_15	L2-7-seq_105	L3-9-seq_58
8yz5	spike_glycoprotein	H1-7-seq_578		L1-11-seq_384	L2-7-seq_257	L3-9-seq_227
8z4e	neuraminidase	H1-7-seq_318	H2-6-seq_12	L1-11-seq_225	L2-7-seq_551	L3-10-seq_4
8z6s	spike_glycoprotein,fibritin,expression_tag	H1-7-seq_622	H2-6-seq_34	L1-14-seq_4	L2-7-seq_577	L3-9-seq_8
8z6u	spike_glycoprotein,fibritin,expression_tag	H1-7-seq_622	H2-6-seq_34	L1-14-seq_53	L2-7-seq_582	L3-9-seq_8
8zby	spike_glycoprotein	H1-7-seq_505	H2-6-seq_67	L1-13-seq_14	L2-7-seq_100	L3-11-seq_14
8zhe	spike_glycoprotein,fibritin,expression_tag	H1-7-seq_65	H2-6-seq_129	L1-13-seq_5	L2-7-seq_226	L3-9-seq_311
8zho	spike_glycoprotein	H1-7-seq_549	H2-6-seq_483	L1-13-seq_5	L2-7-seq_226	L3-11-seq_91
8zr4	neuraminidase	H1-7-seq_23	H2-6-seq_19	L1-16-seq_33	L2-7-seq_25	L3-10-seq_6
9aru	spike_glycoprotein	H1-7-seq_65	H2-6-seq_257	L1-16-seq_15	L2-7-seq_21	L3-9-seq_243
9au2	spike_glycoprotein	H1-7-seq_33	H2-6-seq_386	L1-14-seq_101	L2-7-seq_38	L3-10-seq_9
9avo	histone_chaperone_asf1	H1-7-seq_20	H2-6-seq_16	L1-11-seq_36	L2-7-seq_67	L3-9-seq_383
9azr	hemagglutinin_ha1_chain	H1-7-seq_603	H2-6-seq_33	L1-11-seq_199	L2-7-seq_641	L3-11-seq_53
9azt	hemagglutinin_ha1_chain	H1-7-seq_8	H2-6-seq_5	L1-11-seq_6	L2-7-seq_10	L3-11-seq_3
9bdf	hemagglutinin	H1-9-seq_4		L1-11-seq_1	L2-7-seq_34	L3-9-seq_16
9bdg	hemagglutinin	H1-7-seq_31	H2-6-seq_27	L1-11-seq_35	L2-7-seq_35	L3-9-seq_17
9bj2	spike_glycoprotein	H1-7-seq_10	H2-6-seq_7	L1-13-seq_14	L2-7-seq_12	L3-11-seq_4
9bj3	spike_glycoprotein	H1-7-seq_684	H2-6-seq_483	L1-12-seq_1	L2-7-seq_13	L3-9-seq_5
9c44	spike_glycoprotein	H1-7-seq_290	H2-6-seq_24	L1-11-seq_384	L2-7-seq_257	L3-9-seq_227
9cci	spike_glycoprotein	H1-7-seq_9	H2-6-seq_6	L1-11-seq_7	L2-7-seq_11	
9dpc	neuraminidase	H1-7-seq_3	H2-6-seq_2	L1-11-seq_3	L2-7-seq_65	L3-9-seq_33
9dq3	cytotoxic_t-lymphocyte_protein_4	H1-7-seq_678	H2-6-seq_17	L1-12-seq_5	L2-7-seq_23	L3-9-seq_79
9dq5	cytotoxic_t-lymphocyte_protein_4	H1-7-seq_577	H2-6-seq_18	L1-16-seq_28	L2-7-seq_71	L3-9-seq_38
9dwe	hemagglutinin	H1-7-seq_26	H2-6-seq_519	L1-13-seq_3	L2-7-seq_710	L3-11-seq_14
9fgr	spike_glycoprotein	H1-7-seq_513		L1-12-seq_10	L2-7-seq_91	L3-10-seq_18
9fgs	spike_glycoprotein,fibritin	H1-7-seq_641		L1-12-seq_11	L2-7-seq_516	L3-9-seq_5
9fgt	spike_glycoprotein,fibritin	H1-7-seq_513		L1-12-seq_1	L2-7-seq_33	L3-9-seq_5
9l1s	receptor_tyrosine-protein_kinase_erbb-2	H1-7-seq_65	H2-6-seq_33	L1-11-seq_74	L2-7-seq_133	L3-9-seq_13
9l6c	spike_protein_s1	H1-7-seq_65	H2-6-seq_385	L1-11-seq_407	L2-7-seq_33	L3-10-seq_2
